Player,Country,Batting_Style,Bowling_Style
Bjorn Kotze,Namibia,Right-hand bat,Right-arm fast-medium
Blair Hartland,New Zealand,Right-hand bat,Right-arm medium
Blair Pocock,New Zealand,Right-hand bat,Right-arm slow
Blessing Mahwire,Zimbabwe,Right-hand bat,Right-arm fast-medium
Bob Appleyard,England,Right-hand bat,"Right-arm medium, Off-break"
Bob Barber,England,Left-hand bat,Leg-break googly
Bob Berry,England,Left-hand bat,Slow left-arm
Bob Blair,New Zealand,Right-hand bat,Right-arm fast-medium
Bob Catterall,South Africa,Right-hand bat,Right-arm medium
Bob Cottam,England,Right-hand bat,Right-arm fast-medium
Bob Cowper,Australia,Left-hand bat,Off-break
Bob Crisp,India,Right-hand bat,Right-arm fast
Bob Cunis,New Zealand,Right-hand bat,Right-arm fast-medium
Bob Holland,Australia,Right-hand bat,Leg-break googly
Bob Massie,Australia,Left-hand bat,Right-arm medium-fast
Bob McLeod,Australia,Left-hand bat,Right-arm medium
Bob Newson,South Africa,Right-hand bat,Right-arm fast
Bob Simpson,Australia,Right-hand bat,Leg-break googly
Bob Taylor,England,Right-hand bat,Right-arm medium
Bob Willis,England,Right-hand bat,Right-arm fast
Bob Woolmer,India,Right-hand bat,Right-arm medium
Bob Wyatt,England,Right-hand bat,Right-arm medium
Bobby Abel,England,Right-hand bat,Off-break
Bobby Peel,England,Left-hand bat,Slow left-arm
Bobby Rao,India,Right-hand bat,Leg-break
Boeta Dippenaar,South Africa,Right-hand bat,Off-break
Bonnor Middleton,England,Right-hand bat,Left-arm slow-medium
Boyd Rankin,Ireland,Left-hand bat,Right-arm fast-medium
Brad Haddin,Australia,Right-hand bat,
Brad Hodge,Australia,Right-hand bat,Off-break
Brad Hogg,Australia,Left-hand bat,Chinaman
Brad Kruger,South Africa,Right-hand bat,Right-arm fast-medium
Brad Patton,New Zealand,Left-hand bat,Right-arm medium-fast
Brad Williams,Australia,Right-hand bat,Right-arm fast
Brad Young,Australia,Right-hand bat,Slow left-arm
Brandon Bess,Guyana,Right-hand bat,Right-arm fast-medium
Bransby Cooper,India,Right-hand bat,
Brendan Nash,Australia,Left-hand bat,"Slow left-arm, Left-arm medium"
Brendan Taylor,Zimbabwe,Right-hand bat,Off-break
Brendon Bracewell,New Zealand,Right-hand bat,Right-arm medium
Brendon Diamanti,New Zealand,Right-hand bat,Right-arm medium
Brendon Julian,New Zealand,Right-hand bat,Left-arm fast-medium
Brendon Kuruppu,Sri Lanka,Right-hand bat,
Brendon McCullum,New Zealand,Right-hand bat,Right-arm medium
Brent Arnel,New Zealand,Right-hand bat,Right-arm medium-fast
Brenton Parchment,Jamaica,Right-hand bat,Off-break
Brett Dorey,Australia,Right-hand bat,Right-arm fast-medium
Brett Geeves,Australia,Right-hand bat,Right-arm fast-medium
Brett Lee,Australia,Right-hand bat,Right-arm fast
Brett Schultz,South Africa,Left-hand bat,Left-arm fast
Brian Bolus,England,Right-hand bat,Left-arm medium
Brian Booth,Australia,Right-hand bat,"Right-arm medium, Off-break"
Brian Close,England,Left-hand bat,"Right-arm medium, Off-break"
Brian Hastings,New Zealand,Right-hand bat,Leg-break googly
Brian Lara,Trinidad and Tobago,Left-hand bat,Leg-break googly
Brian Luckhurst,England,Right-hand bat,Slow left-arm
Brian McKechnie,New Zealand,Right-hand bat,Right-arm fast-medium
Brian McMillan,South Africa,Right-hand bat,Right-arm medium-fast
Brian Murphy,Zimbabwe,Right-hand bat,Leg-break googly
Brian Rose,England,Left-hand bat,Left-arm medium
Brian Statham,England,Left-hand bat,Right-arm fast-medium
Brian Taber,Australia,Right-hand bat,Leg-break
Brian Vitori,Zimbabwe,Left-hand bat,Left-arm fast-medium
Brighton Watambwa,Zimbabwe,Right-hand bat,Right-arm fast-medium
Brijal Patel,Kenya,Right-hand bat,Slow left-arm
Brijesh Patel,India,Right-hand bat,Off-break
Brooke Walker,New Zealand,Right-hand bat,Leg-break
Bruce Blair,New Zealand,Left-hand bat,Right-arm medium
Bruce Bolton,New Zealand,Right-hand bat,Leg-break
Bruce Dooland,Australia,Right-hand bat,Leg-break googly
Bruce Edgar,New Zealand,Left-hand bat,Right-arm slow-medium
Bruce Francis,Australia,Right-hand bat,Right-arm medium
Bruce French,England,Right-hand bat,
Bruce Laird,Australia,Right-hand bat,
Bruce Martin,New Zealand,Right-hand bat,Slow left-arm
Bruce Mitchell,South Africa,Right-hand bat,Leg-break
Bruce Morrison,New Zealand,Left-hand bat,Right-arm medium
Bruce Murray,New Zealand,Right-hand bat,Leg-break
Bruce Pairaudeau,Guyana,Right-hand bat,Leg-break googly
Bruce Patterson,Scotland,Right-hand bat,
Bruce Reid,Australia,Left-hand bat,Left-arm fast-medium
Bruce Taylor,New Zealand,Left-hand bat,Right-arm fast-medium
Bruce Yardley,Australia,Right-hand bat,"Right-arm fast-medium, Right-arm medium, Off-break"
Brun Smith,New Zealand,Right-hand bat,Off-break
Bryan Andrews,New Zealand,Right-hand bat,Right-arm medium
Bryan Davis,Trinidad and Tobago,Right-hand bat,Off-break
Bryan Mauricette,St Lucia,Right-hand bat,
Bryan Strang,Zimbabwe,Right-hand bat,Left-arm medium-fast
Bryan Valentine,England,Right-hand bat,Right-arm medium
Bryan Young,New Zealand,Right-hand bat,
Bryan Yuile,New Zealand,Right-hand bat,Slow left-arm
Bryce McGain,Australia,Right-hand bat,Leg-break googly
Buddy Oldfield,England,Right-hand bat,
Budhi Kunderan,India,Right-hand bat,Right-arm medium
Bunny Butler,Trinidad and Tobago,Right-hand bat,Right-arm fast-medium
Bunny Lucas,England,Right-hand bat,Right-arm slow roundarm
Burton van Rooi,Namibia,Right-hand bat,Right-arm medium
Buster Farrer,South Africa,Right-hand bat,Off-break
Buster Nupen,Norway,Right-hand bat,Right-arm fast-medium
Butch White,England,Left-hand bat,Right-arm fast
Callum Ferguson,Australia,Right-hand bat,Right-arm medium
Calum MacLeod,Scotland,Right-hand bat,Right-arm medium-fast
Calvert Hooper,St Vincent and the Grenadines,Right-hand bat,Right-arm fast-medium
Calvin Burnett,Scotland,Left-hand bat,Right-arm medium-fast
Cameron Borgas,Australia,Right-hand bat,Off-break
Cameron Cuffy,St Vincent and the Grenadines,Right-hand bat,Right-arm fast
Cameron White,Australia,Right-hand bat,Leg-break googly
Cammie Smith,Barbados,Right-hand bat,
Carl Bulfin,New Zealand,Right-hand bat,Right-arm fast-medium
Carl Hooper,Guyana,Right-hand bat,Off-break
Carl Rackemann,Australia,Right-hand bat,Right-arm fast
Carl Tuckett,St Kitts and Nevis,Right-hand bat,Right-arm fast-medium
Carlisle Best,Barbados,Right-hand bat,"Right-arm medium, Off-break"
Carlos Brathwaite,Barbados,Right-hand bat,Right-arm fast-medium
Carlton Baugh,Jamaica,Right-hand bat,Leg-break googly
CB Fry,England,Right-hand bat,Right-arm fast-medium
CD Gopinath,India,Right-hand bat,"Right-arm medium, Off-break"
Cec Dixon,South Africa,Right-hand bat,Right-arm medium
Cecil Marshall,Trinidad and Tobago,Right-hand bat,Right-arm medium
Cecil Parkin,England,Right-hand bat,"Off-break, Leg-break"
Cephas Zhuwao,Zimbabwe,Left-hand bat,Leg-break
Ces Burke,New Zealand,Right-hand bat,Leg-break googly
Chad Keegan,South Africa,Right-hand bat,Right-arm fast-medium
Chadwick Walton,Jamaica,Right-hand bat,
Chamara Dunusinghe,Sri Lanka,Right-hand bat,
Chamara Kapugedera,Sri Lanka,Right-hand bat,Right-arm medium
Chamara Silva,Sri Lanka,Right-hand bat,Leg-break
Chamila Gamage,Sri Lanka,Right-hand bat,Right-arm fast-medium
Chaminda Mendis,Sri Lanka,Right-hand bat,Off-break
Chaminda Vaas,Sri Lanka,Left-hand bat,Left-arm fast-medium
Champaka Ramanayake,Sri Lanka,Right-hand bat,Right-arm fast-medium
Chamu Chibhabha,Zimbabwe,Right-hand bat,Right-arm medium
Chanaka Welagedara,Sri Lanka,Right-hand bat,Left-arm fast-medium
Chandika Hathurusingha,Sri Lanka,Right-hand bat,Right-arm medium-fast
Chandra Sarwate,India,Right-hand bat,"Leg-break, Off-break"
Chandrakant Pandit,India,Right-hand bat,
Chandrakant Patankar,India,Right-hand bat,
Chandrasekhar Gadkari,India,Right-hand bat,Right-arm medium
Chandu Borde,India,Right-hand bat,Leg-break
Charith Senanayake,Sri Lanka,Left-hand bat,Right-arm medium
Charitha Buddhika,Sri Lanka,Right-hand bat,Right-arm fast-medium
Charl Langeveldt,South Africa,Right-hand bat,Right-arm fast-medium
Charl Willoughby,South Africa,Left-hand bat,Left-arm fast-medium
Charles Bannerman,England,Right-hand bat,
Charles Coventry,England,Right-hand bat,
Charles Fichardt,South Africa,Right-hand bat,
Charles Hime,Bermuda,Right-hand bat,Right-arm medium
Charles Jones,Guyana,Left-hand bat,Slow left-arm
Charles Kelleway,Australia,Right-hand bat,Right-arm fast-medium
Charles Leslie,England,Right-hand bat,Right-arm fast
Charles Macartney,Australia,Right-hand bat,Slow left-arm
Charles Mills,England,Right-hand bat,Right-arm medium
Charles Palmer,England,Right-hand bat,"Right-arm medium, Right-arm slow"
Charles Prince,South Africa,Right-hand bat,
Charles Studd,England,Right-hand bat,Right-arm medium-fast
Charles Vintcent,South Africa,Left-hand bat,Left-arm medium-fast
Charles Wright,England,Right-hand bat,
Charlie Absolom,England,Right-hand bat,Right-arm medium
Charlie Baksh,Trinidad and Tobago,Right-hand bat,
Charlie Barnett,England,Right-hand bat,Right-arm medium
Charlie Davis,Trinidad and Tobago,Right-hand bat,Right-arm medium
Charlie Eady,Australia,Right-hand bat,Right-arm fast
Charlie Finlason,England,Right-hand bat,Off-break
Charlie Frank,South Africa,Right-hand bat,
Charlie Griffith,Barbados,Right-hand bat,Right-arm fast
Charlie Hallows,England,Left-hand bat,Slow left-arm
Charlie Llewellyn,South Africa,Left-hand bat,Left-arm slow-medium
Charlie Lock,Zimbabwe,Right-hand bat,Right-arm fast-medium
Charlie McGahey,England,Right-hand bat,Leg-break
Charlie McLeod,Australia,Right-hand bat,Right-arm medium
Charlie Parker,England,Right-hand bat,Slow left-arm
Charlie Smith,South Africa,Right-hand bat,
Charlie Stayers,Guyana,Right-hand bat,Right-arm fast-medium
Charlie Townsend,England,Left-hand bat,Leg-break
Charlie Turner,Australia,Right-hand bat,Right-arm medium-fast
Charran Singh,Trinidad and Tobago,Left-hand bat,Slow left-arm
Chaturanga de Silva,Sri Lanka,Left-hand bat,Slow left-arm
Chester Watson,Jamaica,Right-hand bat,Right-arm fast
Chetan Chauhan,India,Right-hand bat,Off-break
Chetan Sharma,India,Right-hand bat,Right-arm fast-medium
Cheteshwar Pujara,India,Right-hand bat,Leg-break
Chinthaka Jayasinghe,Sri Lanka,Right-hand bat,Right-arm medium
Chris Adams,England,Right-hand bat,Off-break
Chris Balderstone,England,Right-hand bat,Slow left-arm
Chris Broad,England,Left-hand bat,Right-arm medium
Chris Burger,South Africa,Right-hand bat,Right-arm medium
Chris Cairns,New Zealand,Right-hand bat,Right-arm fast-medium
Chris Cowdrey,England,Right-hand bat,Right-arm medium
Chris Douglas,Bermuda,Left-hand bat,Off-break
Chris Drum,New Zealand,Right-hand bat,Right-arm fast-medium
Chris Duckworth,Zimbabwe,Right-hand bat,
Chris Foggo,Bermuda,Right-hand bat,
Chris Gayle,Jamaica,Left-hand bat,Off-break
Chris Harris,New Zealand,Left-hand bat,"Right-arm medium, Off-break"
Chris Jones,England,Right-hand bat,Right-arm medium
Chris Jordan,Barbados,Right-hand bat,Right-arm fast-medium
Chris Kuggeleijn,New Zealand,Right-hand bat,Off-break
Chris Lewis,Guyana,Right-hand bat,Right-arm fast-medium
Chris Lonsdale,Bermuda,Right-hand bat,Off-break
Chris Lynn,Australia,Right-hand bat,Slow left-arm
Chris Martin,New Zealand,Right-hand bat,Right-arm fast-medium
Chris Matthews,Australia,Left-hand bat,Left-arm fast
Chris Morris,South Africa,Right-hand bat,Right-arm fast-medium
Chris Nevin,New Zealand,Right-hand bat,Right-arm slow-medium
Chris Old,England,Left-hand bat,Right-arm fast-medium
Chris Pringle,New Zealand,Right-hand bat,Right-arm fast-medium
Chris Read,England,Right-hand bat,
Chris Rogers,Australia,Left-hand bat,Leg-break googly
Chris Schofield,England,Left-hand bat,Leg-break googly
Chris Silverwood,England,Right-hand bat,Right-arm fast-medium
Chris Smith,South Africa,Right-hand bat,Off-break
Chris Tavare,England,Right-hand bat,Off-break
Chris Tremlett,England,Right-hand bat,Right-arm fast-medium
Chris Woakes,England,Right-hand bat,Right-arm fast-medium
Chris Wood,England,Right-hand bat,Left-arm medium
Christopher Barnwell,Guyana,Right-hand bat,Right-arm medium-fast
Christopher Chappell,Canada,Right-hand bat,
Christopher Heseltine,England,Right-hand bat,Right-arm fast
Christopher Mpofu,Zimbabwe,Right-hand bat,Right-arm fast-medium
Christopher Nash,England,Right-hand bat,Off-break
Chuck Fleetwood-Smith,Australia,Right-hand bat,Chinaman
CK Nayudu,India,Right-hand bat,Right-arm slow-medium
Clairmonte Depeiaza,Barbados,Right-hand bat,Right-arm
Clarence Passailaigue,Jamaica,Right-hand bat,
Clarence Wimble,South Africa,Right-hand bat,
Clarrie Grimmett,New Zealand,Right-hand bat,Leg-break googly
Claude Buckenham,England,Right-hand bat,Right-arm fast
Claude Carter,South Africa,Right-hand bat,Slow left-arm
Claude Floquet,South Africa,Right-hand bat,Right-arm medium
Claude Henderson,South Africa,Right-hand bat,Slow left-arm
Claude Jennings,Australia,Right-hand bat,
Claude Newberry,South Africa,Right-hand bat,"Leg-break, Right-arm fast"
Clay Smith,Bermuda,Right-hand bat,Off-break
Clayton Lambert,Guyana,Left-hand bat,Off-break
Clem Hill,Australia,Left-hand bat,Leg-break
Clem Wilson,England,Right-hand bat,"Right-arm fast-medium, Slow left-arm"
Clement Johnson,Ireland,Right-hand bat,Right-arm medium-fast
Cliff Gladwin,England,Right-hand bat,Right-arm fast-medium
Cliff McWatt,Guyana,Left-hand bat,Right-arm
Clifford Roach,Trinidad and Tobago,Right-hand bat,Leg-break
Clinton McKay,Australia,Right-hand bat,Right-arm fast-medium
Clive Eksteen,South Africa,Right-hand bat,Slow left-arm
Clive Halse,South Africa,Right-hand bat,Right-arm fast
Clive Lloyd,Guyana,Left-hand bat,Right-arm medium
Clive Radley,England,Right-hand bat,Leg-break
Clive Rice,South Africa,Right-hand bat,Right-arm fast-medium
Clive van Ryneveld,South Africa,Right-hand bat,Leg-break googly
Clyde Butts,Guyana,Right-hand bat,Off-break
Clyde Walcott,Barbados,Right-hand bat,Right-arm fast-medium
Colin Bland,Zimbabwe,Right-hand bat,Right-arm medium
Colin Blythe,England,Right-hand bat,Slow left-arm
Colin Cowdrey,India,Right-hand bat,Leg-break
Colin Croft,Guyana,Right-hand bat,Right-arm fast
Colin de Grandhomme,Zimbabwe,Right-hand bat,Right-arm fast-medium
Colin Guest,Australia,Right-hand bat,Right-arm fast
Colin Ingram,South Africa,Left-hand bat,Leg-break
Colin McCool,Australia,Right-hand bat,Leg-break googly
Colin McDonald,Australia,Right-hand bat,
Colin Milburn,England,Right-hand bat,Right-arm medium
Colin Miller,Australia,Right-hand bat,"Right-arm fast-medium, Off-break"
Colin Munro,South Africa,Left-hand bat,Right-arm medium
Colin Smith,Scotland,Right-hand bat,
Colin Snedden,New Zealand,Right-hand bat,Off-break
Colin Stuart,Guyana,Right-hand bat,Right-arm fast-medium
Colin Wells,England,Right-hand bat,Right-arm medium
Colin Wesley,South Africa,Left-hand bat,Slow left-arm
Collie Smith,Jamaica,Right-hand bat,Off-break
Collins Obuya,Kenya,Right-hand bat,Leg-break
Collis King,Barbados,Right-hand bat,Right-arm medium
Commandur Rangachari,India,Right-hand bat,Right-arm fast
Conrad Hunte,Barbados,Right-hand bat,Right-arm medium
Corey Anderson,New Zealand,Left-hand bat,Left-arm medium-fast
Corey Collymore,Barbados,Right-hand bat,Right-arm fast-medium
Cornelius Henry,St Lucia,Right-hand bat,Right-arm medium
Corrie van Zyl,South Africa,Right-hand bat,Right-arm fast-medium
Cotar Ramaswami,India,Left-hand bat,Right-arm
Courtney Browne,England,Right-hand bat,
Courtney Kruger,South Africa,Right-hand bat,
Courtney Walsh,Jamaica,Right-hand bat,Right-arm fast
Craig Cumming,New Zealand,Right-hand bat,Right-arm slow-medium
Craig Ervine,Zimbabwe,Left-hand bat,Off-break
Craig Evans,Zimbabwe,Right-hand bat,Right-arm medium
Craig Kieswetter,South Africa,Right-hand bat,Off-break
Craig Matthews,South Africa,Right-hand bat,Right-arm fast-medium
Craig McDermott,Australia,Right-hand bat,Right-arm fast
Craig McMillan,New Zealand,Right-hand bat,Right-arm medium
Craig Serjeant,Australia,Right-hand bat,
Craig Spearman,New Zealand,Right-hand bat,
Craig Wallace,Scotland,Right-hand bat,
Craig White,England,Right-hand bat,"Off-break, Right-arm fast-medium"
Craig Wishart,Zimbabwe,Right-hand bat,Right-arm medium
Craig Wright,Scotland,Right-hand bat,Right-arm medium
CS Nayudu,India,Right-hand bat,Leg-break googly
Cuan McCarthy,South Africa,Right-hand bat,Right-arm fast
Cullen Bailey,Australia,Right-hand bat,Leg-break googly
Curly Page,New Zealand,Right-hand bat,Right-arm slow
Curtly Ambrose,Antigua and barbuda,Left-hand bat,Right-arm fast
Cyril Allcott,New Zealand,Left-hand bat,Slow left-arm
Cyril Christiani,Guyana,Right-hand bat,
Cyril Francois,England,Right-hand bat,Right-arm fast-medium
Cyril Merry,Trinidad and Tobago,Right-hand bat,
Cyril Poole,England,Left-hand bat,Left-arm medium
Cyril Vincent,South Africa,Left-hand bat,Slow left-arm
Cyril Walters,Wales,Right-hand bat,
Cyril Washbrook,England,Right-hand bat,Right-arm medium
Daan van Bunge,Netherlands,Right-hand bat,Leg-break
Dale Benkenstein,Zimbabwe,Right-hand bat,"Right-arm medium, Off-break"
Dale Richards,Barbados,Right-hand bat,
Dale Steyn,South Africa,Right-hand bat,Right-arm fast
Dalton Conyngham,South Africa,Right-hand bat,Right-arm medium
Damien Fleming,Australia,Right-hand bat,Right-arm fast-medium
Damien Martyn,Australia,Right-hand bat,Right-arm medium
Dammika Ranatunga,Sri Lanka,Right-hand bat,Off-break
Damodar Daesrath,Guyana,Right-hand bat,Right-arm medium
Dan Hodgson,England,Right-hand bat,
Dan Taylor,South Africa,Left-hand bat,Right-arm medium
Dane Vilas,South Africa,Right-hand bat,
Daniel Christian,Australia,Right-hand bat,Right-arm fast-medium
Daniel Cullen,Australia,Right-hand bat,Off-break
Daniel Flynn,New Zealand,Left-hand bat,Chinaman
Daniel Harris,Australia,Right-hand bat,Right-arm medium
Daniel Keulder,Namibia,Right-hand bat,Off-break
Daniel Morgan,England,Right-hand bat,
Daniel Smith,Australia,Right-hand bat,
Daniel Vettori,New Zealand,Left-hand bat,Slow left-arm
Danish Kaneria,Pakistan,Right-hand bat,Leg-break
Danny Briggs,England,Right-hand bat,Slow left-arm
Danny Morrison,New Zealand,Right-hand bat,Right-arm fast-medium
Dante Parkin,South Africa,Right-hand bat,Right-arm medium
Danushka Gunathilaka,Sri Lanka,Left-hand bat,Right-arm medium-fast
Danza Hyatt,Jamaica,Right-hand bat,Right-arm medium
Daren Ganga,Trinidad and Tobago,Right-hand bat,Off-break
Daren Powell,Jamaica,Right-hand bat,Right-arm fast-medium
Darren Bravo,Trinidad and Tobago,Left-hand bat,Left-arm medium
Darren Gough,England,Right-hand bat,Right-arm fast
Darren Lehmann,Australia,Left-hand bat,Slow left-arm
Darren Maddy,England,Right-hand bat,Right-arm medium
Darren Pattinson,England,Right-hand bat,Right-arm fast-medium
Darren Ramsammy,Canada,Right-hand bat,
Darren Sammy,St Lucia,Right-hand bat,Right-arm medium
Darrin Murray,New Zealand,Right-hand bat,Right-arm medium
Darron Reekers,New Zealand,Right-hand bat,Right-arm medium
Darryl Brown,Trinidad and Tobago,Right-hand bat,Right-arm medium
Daryl Tuffey,New Zealand,Right-hand bat,Right-arm fast-medium
Daryll Cullinan,South Africa,Right-hand bat,Off-break
Datta Gaekwad,India,Right-hand bat,"Right-arm medium, Leg-break"
Dattaram Hindlekar,India,Right-hand bat,
Dattu Phadkar,India,Right-hand bat,"Right-arm fast-medium, Off-break"
Dav Whatmore,Sri Lanka,Right-hand bat,
Dave Callaghan,South Africa,Right-hand bat,Right-arm medium
Dave Gilbert,Australia,Right-hand bat,Right-arm fast-medium
Dave Gregory,Australia,Right-hand bat,Right-arm fast roundarm
Dave Mohammed,Trinidad and Tobago,Left-hand bat,Chinaman
Dave Nourse,England,Left-hand bat,"Left-arm medium, Slow left-arm"
Dave Richardson,South Africa,Right-hand bat,
Dave Rundle,South Africa,Right-hand bat,Off-break
Dave Smith,Australia,Right-hand bat,
David Allan,Barbados,Right-hand bat,
David Allen,England,Right-hand bat,Off-break
David Bairstow,England,Right-hand bat,Right-arm medium
David Balcombe,England,Right-hand bat,Right-arm fast-medium
